train
1 neighbor RMSE 0.8720039035796816, MSE 0.7603908078582027
2 neighbor RMSE 0.7691394760721655, MSE 0.5915755336525652
3 neighbor RMSE 0.7323616620055851, MSE 0.5363536039755828
4 neighbor RMSE 0.7181397119196988, MSE 0.515724645836108
5 neighbor RMSE 0.7102598557582596, MSE 0.5044690627017436
6 neighbor RMSE 0.7046389111776136, MSE 0.4965159951455727
7 neighbor RMSE 0.7007506433760102, MSE 0.4910514641918923
8 neighbor RMSE 0.6973175980263702, MSE 0.48625183251726634
9 neighbor RMSE 0.6947934798949085, MSE 0.4827379797044765
10 neighbor RMSE 0.6924384787660672, MSE 0.4794710468758654
11 neighbor RMSE 0.6901047109006044, MSE 0.47624451200720685
12 neighbor RMSE 0.6882051978466404, MSE 0.47362639434313336
13 neighbor RMSE 0.6865850768127593, MSE 0.47139906770198253
14 neighbor RMSE 0.6851058135143637, MSE 0.4693699757111781
15 neighbor RMSE 0.6840654105592776, MSE 0.4679454859236331
16 neighbor RMSE 0.6830482107498487, MSE 0.46655485820856973
17 neighbor RMSE 0.6821157079536274, MSE 0.4652818390370783
18 neighbor RMSE 0.6812689178823588, MSE 0.4641273384726001
19 neighbor RMSE 0.6804262606920188, MSE 0.4629798962393232
20 neighbor RMSE 0.6798754535006268, MSE 0.462230632272683
21 neighbor RMSE 0.6791353021363081, MSE 0.46122475860777457
22 neighbor RMSE 0.678272282348893, MSE 0.4600532890027765
23 neighbor RMSE 0.6774559293835688, MSE 0.45894653625695503
24 neighbor RMSE 0.676690763193786, MSE 0.4579103889917885
25 neighbor RMSE 0.6759989469694646, MSE 0.45697457630382504
26 neighbor RMSE 0.6753226708666291, MSE 0.45606070978643753
27 neighbor RMSE 0.6747458591287367, MSE 0.4552819744113771
28 neighbor RMSE 0.6742277921531324, MSE 0.4545831157116876
29 neighbor RMSE 0.6736031435235869, MSE 0.453741194964858
30 neighbor RMSE 0.6730098396430378, MSE 0.45294224425634755
31 neighbor RMSE 0.672445979045033, MSE 0.45218359473383296
32 neighbor RMSE 0.6719916521127253, MSE 0.45157278050919003
33 neighbor RMSE 0.6715879887384355, MSE 0.45103042661773696
34 neighbor RMSE 0.6711849125337085, MSE 0.4504891868128819
test
1 neighbor RMSE 0.8727613462252132, MSE 0.7617123674648465
2 neighbor RMSE 0.775437473566369, MSE 0.6013032754109934
3 neighbor RMSE 0.7393820466411051, MSE 0.5466858108951893
4 neighbor RMSE 0.7251932018034176, MSE 0.5259051799418923
5 neighbor RMSE 0.7165219593950334, MSE 0.5134037182952979
6 neighbor RMSE 0.7115513776513938, MSE 0.5063053630375964
7 neighbor RMSE 0.7071477010233397, MSE 0.5000578710625946
8 neighbor RMSE 0.7043253508906548, MSE 0.49607419990724405
9 neighbor RMSE 0.7016259215582847, MSE 0.49227893380251225
10 neighbor RMSE 0.6993888836714657, MSE 0.489144810603219
11 neighbor RMSE 0.6973877005027398, MSE 0.48634960481249906
12 neighbor RMSE 0.6957632941375482, MSE 0.4840865614691325
13 neighbor RMSE 0.6945523041961819, MSE 0.4824029032642255
14 neighbor RMSE 0.6932599001357131, MSE 0.480609289136179
15 neighbor RMSE 0.6923519227734377, MSE 0.4793511849680762
16 neighbor RMSE 0.6912137789920572, MSE 0.4777764882684805
17 neighbor RMSE 0.6904389496307293, MSE 0.4767059431671848
18 neighbor RMSE 0.6894332695824433, MSE 0.475318233207138
19 neighbor RMSE 0.6884832151463515, MSE 0.47400913753825724
20 neighbor RMSE 0.6877666943578159, MSE 0.4730230258678774
21 neighbor RMSE 0.6869358862507686, MSE 0.4718809118191289
22 neighbor RMSE 0.6861709507207393, MSE 0.47083057361300323
23 neighbor RMSE 0.6855849112218262, MSE 0.4700266704950393
24 neighbor RMSE 0.6848381013397351, MSE 0.4690032250466133
25 neighbor RMSE 0.6841598935182948, MSE 0.46807475989896435
26 neighbor RMSE 0.6834366930076429, MSE 0.46708571334922305
27 neighbor RMSE 0.6829109323474, MSE 0.46636734151959514
28 neighbor RMSE 0.6822381489358762, MSE 0.4654488918634508
29 neighbor RMSE 0.6818470152135204, MSE 0.46491535215558677
30 neighbor RMSE 0.6811546166604812, MSE 0.463971611797887
31 neighbor RMSE 0.6805320873037359, MSE 0.4631239218499797
32 neighbor RMSE 0.6800952039132916, MSE 0.4625294863858617
33 neighbor RMSE 0.6796512166217988, MSE 0.4619257762554913
34 neighbor RMSE 0.6793245856184411, MSE 0.46148189262566675
